Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE'.
Using operations until 'PERF_DECODE_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                        Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1069    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs                   10                                                       BF16 => BF16
 1304    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          1 μs    110                     3.7 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1305    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1306    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.6 TFLOPs    3.7 %  HiFi4 FP32 x FP32 => FP32
 1307    0.1 %         CopyDeviceOperation                                  0        12 μs          1 μs    110                                                 FP32, FP32 => FP32
 1308    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1309    0.1 %         ReshapeViewDeviceOperation                           0        19 μs          1 μs      8                                                       BF16 => BF16
 1310    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1311    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1312    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1313    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1314    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       155 μs          1 μs     80  407 GB/s  79.5 %  13.0 TFLOPs   11.7 %  HiFi4 BF16 x BF16 => BF16
 1315    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1316    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1317    0.0 %         LayerNormDeviceOperation                             0        10 μs          1 μs     10                                                 BF16, BF16 => BF16
 1318    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1319    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       866 μs          1 μs    109  415 GB/s  81.0 %  13.2 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => BF16
 1320    0.0 %         SliceDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1321    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1322    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1323    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1324    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1325    2.0 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       445 μs          1 μs     80  403 GB/s  78.8 %  12.8 TFLOPs   11.6 %  HiFi4 BF16 x BF16 => BF16
 1326    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1327    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1328    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1329    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1330    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       262 μs          1 μs    107  407 GB/s  79.4 %  12.8 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => FP32
 1331    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       149 μs          1 μs     96  428 GB/s  83.5 %  13.5 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1332    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1333    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        60 μs          1 μs      4   49 GB/s   9.6 %   0.7 TFLOPs   12.6 %  HiFi4 BF16 x FP32 => FP32
 1334    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1335    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1336    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1337    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1338    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1339    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 FP32, FP32 => FP32
 1340    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          0 μs    107                                                       FP32 => FP32
 1341    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1342    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         23 μs    107                                                       FP32 => FP32
 1343    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1344    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1345    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1346    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1347    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1348    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1349    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1350    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1351    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1352    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         40 μs    107                                                       FP32 => FP32
 1353    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      3                                                       FP32 => FP32
 1354    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1355    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1356    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1357    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1358    0.2 %         TilizeWithValPaddingDeviceOperation                  0        14 μs         43 μs    107                                                       FP32 => FP32
 1359    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1360    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1361    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1362    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1363    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs    110                                                       FP32 => FP32
 1364    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1365    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1366    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1367    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1368    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1369    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1370    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1371    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1372    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1373    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1374    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1375    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1376    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1377    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1378    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1379    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1380    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1381    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1382    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1383    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1384    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1385    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1386    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          0 μs    110                     5.8 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1387    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 FP32, FP32 => FP32
 1388    0.0 %         BinaryNgDeviceOperation                              0         6 μs          0 μs    110                                                 FP32, FP32 => FP32
 1389    0.0 %         TransposeDeviceOperation                             0         3 μs          0 μs    110                                                       FP32 => FP32
 1390    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          1 μs    110                     3.8 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1391    0.0 %         BinaryNgDeviceOperation                              0         8 μs          0 μs    110                                                 FP32, FP32 => FP32
 1392    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.6 TFLOPs    3.7 %  HiFi4 FP32 x FP32 => FP32
 1393    0.1 %         CopyDeviceOperation                                  0        12 μs          1 μs    110                                                 FP32, FP32 => FP32
 1394    0.1 %         ReshapeViewDeviceOperation                           0        16 μs          1 μs      8                                                       FP32 => FP32
 1395    0.1 %         ReshapeViewDeviceOperation                           0        20 μs          1 μs      8                                                       BF16 => BF16
 1396    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1397    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1398    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1399    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1400    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       155 μs          1 μs     80  408 GB/s  79.6 %  13.0 TFLOPs   11.7 %  HiFi4 BF16 x BF16 => BF16
 1401    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1402    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1403    0.0 %         LayerNormDeviceOperation                             0        10 μs          1 μs     10                                                 BF16, BF16 => BF16
 1404    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1405    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       869 μs          1 μs    109  413 GB/s  80.7 %  13.1 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => BF16
 1406    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1407    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1408    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1409    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1410    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1411    2.0 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       449 μs          1 μs     80  400 GB/s  78.2 %  12.7 TFLOPs   11.5 %  HiFi4 BF16 x BF16 => BF16
 1412    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1413    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1414    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1415    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1416    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       262 μs          1 μs    107  407 GB/s  79.5 %  12.8 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => FP32
 1417    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       149 μs          1 μs     96  427 GB/s  83.5 %  13.5 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1418    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1419    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        61 μs          1 μs      4   49 GB/s   9.6 %   0.7 TFLOPs   12.5 %  HiFi4 BF16 x FP32 => FP32
 1420    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1421    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1422    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1423    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1424    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1425    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1426    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs    107                                                       FP32 => FP32
 1427    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1428    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         22 μs    107                                                       FP32 => FP32
 1429    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1430    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1431    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1432    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1433    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1434    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1435    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1436    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1437    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1438    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         38 μs    107                                                       FP32 => FP32
 1439    0.0 %         SliceDeviceOperation                                 0         3 μs          1 μs      3                                                       FP32 => FP32
 1440    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1441    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1442    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1443    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1444    0.2 %         TilizeWithValPaddingDeviceOperation                  0        14 μs         43 μs    107                                                       FP32 => FP32
 1445    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1446    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1447    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1448    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1449    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs    110                                                       FP32 => FP32
 1450    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1451    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1452    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1453    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1454    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1455    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1456    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1457    0.0 %         ReshapeViewDeviceOperation                           0        10 μs          1 μs      4                                                       FP32 => FP32
 1458    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1459    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1460    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1461    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1462    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1463    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1464    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1465    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1466    0.0 %         LayerNormDeviceOperation                             0         7 μs          0 μs     48                                                 FP32, FP32 => FP32
 1467    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1468    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1469    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1470    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1471    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1472    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          0 μs    110                     5.8 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1473    0.0 %         BinaryNgDeviceOperation                              0         4 μs          0 μs    110                                                 FP32, FP32 => FP32
 1474    0.0 %         BinaryNgDeviceOperation                              0         6 μs          0 μs    110                                                 FP32, FP32 => FP32
 1475    0.0 %         TransposeDeviceOperation                             0         3 μs          1 μs    110                                                       FP32 => FP32
 1476    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          1 μs    110                     3.7 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1477    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1478    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.7 TFLOPs    3.7 %  HiFi4 FP32 x FP32 => FP32
 1479    0.1 %         CopyDeviceOperation                                  0        13 μs          1 μs    110                                                 FP32, FP32 => FP32
 1480    0.1 %         ReshapeViewDeviceOperation                           0        16 μs          1 μs      8                                                       FP32 => FP32
 1481    0.1 %         ReshapeViewDeviceOperation                           0        20 μs          1 μs      8                                                       BF16 => BF16
 1482    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1483    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1484    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1485    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1486    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       154 μs          1 μs     80  411 GB/s  80.2 %  13.1 TFLOPs   11.8 %  HiFi4 BF16 x BF16 => BF16
 1487    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1488    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1489    0.0 %         LayerNormDeviceOperation                             0        11 μs          1 μs     10                                                 BF16, BF16 => BF16
 1490    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1491    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       868 μs          1 μs    109  414 GB/s  80.8 %  13.1 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => BF16
 1492    0.0 %         SliceDeviceOperation                                 0         6 μs          0 μs    110                                                       BF16 => BF16
 1493    0.0 %         SliceDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1494    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1495    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1496    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1497    2.0 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       449 μs          1 μs     80  400 GB/s  78.2 %  12.7 TFLOPs   11.5 %  HiFi4 BF16 x BF16 => BF16
 1498    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1499    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1500    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1501    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1502    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       262 μs          1 μs    107  407 GB/s  79.5 %  12.8 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => FP32
 1503    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       149 μs          1 μs     96  428 GB/s  83.7 %  13.6 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1504    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1505    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        60 μs          1 μs      4   49 GB/s   9.6 %   0.7 TFLOPs   12.6 %  HiFi4 BF16 x FP32 => FP32
 1506    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1507    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1508    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1509    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1510    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1511    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1512    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs    107                                                       FP32 => FP32
 1513    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1514    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         23 μs    107                                                       FP32 => FP32
 1515    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1516    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1517    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1518    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1519    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1520    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1521    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1522    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1523    0.0 %         TernaryDeviceOperation                               0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1524    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         38 μs    107                                                       FP32 => FP32
 1525    0.0 %         SliceDeviceOperation                                 0         3 μs          1 μs      3                                                       FP32 => FP32
 1526    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1527    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1528    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1529    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1530    0.3 %         TilizeWithValPaddingDeviceOperation                  0        14 μs         43 μs    107                                                       FP32 => FP32
 1531    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1532    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1533    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1534    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1535    0.0 %         SliceDeviceOperation                                 0         2 μs          0 μs    110                                                       FP32 => FP32
 1536    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1537    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1538    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1539    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
