Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_DECODE_L1'.
Using operations until 'MC_HOST_DECODE_L1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 6843    0.0 %         CopyDeviceOperation                                               1         3 μs                  110                                                 BF16, BF16 => BF16
- Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 6917    0.0 %   SLOW  MatmulDeviceOperation 32 x 320 x 10240                            1        11 μs          1 μs     80  289 GB/s  56.5 %  18.5 TFLOPs    4.2 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=5 and output subblock 1x4 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 6927    0.2 %   SLOW  MatmulDeviceOperation 32 x 2560 x 10336                           1        86 μs          1 μs    108  326 GB/s  63.7 %  19.8 TFLOPs    6.6 %  HiFi2 BF16 x BFP8 => FP32
- If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED)
- in0_block_w=2 and output subblock 1x3 look good 🤷
- If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy

 6934    0.1 %   SLOW  MatmulDeviceOperation 32 x 2560 x 6144                            1        54 μs          1 μs     48  289 GB/s  56.4 %  18.5 TFLOPs   13.9 %  HiFi2 BF16 x BFP8 => BF16
- in0_block_w=8 and output subblock 1x4 look good 🤷
- If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy

 6973    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128                     1         6 μs          1 μs     48                     7.9 TFLOPs    6.0 %  HiFi2 FP32 x FP32 => FP32
✅ Optimized

 6981    0.1 %   SLOW  MatmulDeviceOperation 32 x 6144 x 2560                            1        49 μs          0 μs     20  322 GB/s  62.9 %  20.6 TFLOPs   37.3 %  HiFi2 FP32 x BFP8 => BF16
- in0_block_w=8 and output subblock 1x4 look good 🤷

 6982    0.2 %   SLOW  MatmulDeviceOperation 32 x 2560 x 10336                           1        87 μs          1 μs    108  320 GB/s  62.5 %  19.4 TFLOPs    6.5 %  HiFi2 BF16 x BFP8 => FP32
- If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED)
- in0_block_w=2 and output subblock 1x3 look good 🤷
- If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy

 7002    0.0 %   SLOW  MatmulDeviceOperation 32 x 320 x 10240                            1        11 μs          1 μs     80  292 GB/s  56.9 %  18.7 TFLOPs    4.2 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=5 and output subblock 1x4 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 7009    0.0 %   SLOW  MatmulDeviceOperation 32 x 2560 x 1184                            1        14 μs          0 μs     37  218 GB/s  42.5 %  13.9 TFLOPs    6.8 %   LoFi BF16 x BFP8 => BF16
- Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 7094    0.1 %   SLOW  MatmulDeviceOperation 32 x 10240 x 352                            0        40 μs          1 μs      6   89 GB/s  17.4 %   5.7 TFLOPs   17.2 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=8 and output subblock 1x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 7147    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128                     0         6 μs          0 μs     48                     8.2 TFLOPs    6.1 %  HiFi2 FP32 x FP32 => FP32
✅ Optimized

 7152    0.0 %         MatmulDeviceOperation b={48} x 128 x 32 x 128                     0        13 μs          1 μs    110                     3.8 TFLOPs    1.2 %  HiFi2 FP32 x FP32 => FP32
✅ Optimized

 7179    0.1 %   SLOW  MatmulDeviceOperation 32 x 10240 x 352                            0        40 μs          1 μs      6   89 GB/s  17.5 %   5.7 TFLOPs   17.2 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=8 and output subblock 1x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 7204    0.0 %   SLOW  MatmulDeviceOperation 32 x 320 x 2560                             0         5 μs          1 μs     40  172 GB/s  33.6 %  11.0 TFLOPs    5.0 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=5 and output subblock 1x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 7245    0.2 %   SLOW  SparseMatmulDeviceOperation active=10/10 x 32 x 2560 x 640        1        79 μs          1 μs     20  104 GB/s  20.3 %  13.3 TFLOPs   12.1 %   LoFi BF16 x BFP4 => BF16
- Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 7273    0.1 %   SLOW  SparseMatmulDeviceOperation active=10/10 x 32 x 320 x 2560        0        28 μs          1 μs     40  144 GB/s  28.2 %  18.5 TFLOPs    8.3 %   LoFi BF16 x BFP4 => BF16
- in0_block_w=5 and output subblock 1x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

